Ta,nz,nz_exact,Ra_crit,kx_crit,kx_real,AR (1/kx),Lz,6.39004
1.00E+00,32,32,1.2095E+01,0.475632,0.4676783503,2.102466214,,
2.15E+00,32,32,1.3217E+01,0.506575,0.4981040177,1.974041356,,
4.64E+00,32,32,1.5287E+01,0.555549,0.5462593267,1.800020398,,
1.00E+01,32,32,1.8880E+01,0.626900,0.6164169346,1.595150742,,
2.15E+01,32,32,2.4852E+01,0.708682,0.6968314756,1.411069914,,
4.64E+01,32,32,3.4620E+01,0.814445,0.8008257941,1.227829995,,
1.00E+02,32,32,5.0446E+01,0.900100,0.8850484653,1.110987668,,
2.15E+02,32,32,7.5377E+01,1.060585,1.042849824,0.9428758657,,
4.64E+02,32,32,1.1579E+02,1.206096,1.185927186,0.8291216716,,
1.00E+03,32,32,1.8083E+02,1.367597,1.344727948,0.7312095595,,
2.15E+03,32,32,2.8575E+02,1.549060,1.523156519,0.6455527835,,
4.64E+03,32,32,4.5730E+02,1.753827,1.724499776,0.5701815355,,
1.00E+04,32,32,7.3730E+02,1.984500,1.951314856,0.5039053166,,
2.15E+04,32,32,1.1948E+03,2.245299,2.207753421,0.445374887,,
4.64E+04,32,32,1.9512E+03,2.540934,2.498443877,0.393556141,,
1.00E+05,32,32,3.1975E+03,2.876362,2.828263373,0.3476613741,,
2.15E+05,32,32,5.2499E+03,3.255600,3.201159631,0.3071630421,,
4.64E+05,32,32,8.6615E+03,3.688000,3.626329008,0.2711496746,,
1.00E+06,32,32,1.4326E+04,4.181569,4.111644218,0.2391447018,,
2.15E+06,32,32,2.3679E+04,4.739300,4.660049096,0.2110016247,,
4.64E+06,32,32,3.9299E+04,5.371100,5.281284093,0.1861816015,,
1.00E+07,32,32,6.5304E+04,6.099837,5.997834821,0.1639388146,,
2.15E+07,32,32,1.0831E+05,6.912300,6.796712039,0.1446696469,,
4.64E+07,32,32,1.8044E+05,7.855700,7.724336439,0.1272961035,,
1.00E+08,32,32,3.0042E+05,8.921725,8.772535491,0.112085945,,
2.15E+08,32,32,4.9916E+05,10.128000,9.95863888,0.09873617694,,
4.64E+08,64,32,8.3130E+05,11.490000,11.29786342,0.08703220191,,
1.00E+09,64,32,1.3884E+06,13.066515,12.84801583,0.07653150056,,
2.15E+09,64,32,2.3103E+06,14.849000,14.60069399,0.06734460233,,
4.64E+09,64,32,3.8540E+06,16.864000,16.58199902,0.05929791271,,
1.00E+10,64,32,6.4309E+06,19.131290,18.81137503,0.05227039114,,
2.15E+10,64,32,1.0704E+07,21.763000,21.3990776,0.0459495474,,
4.64E+10,64,32,1.7852E+07,24.726000,24.31253011,0.04044325811,,
1.00E+11,64,32,2.9820E+07,28.108237,27.63820867,0.03557676051,,
2.15E+11,64,32,4.9630E+07,31.924000,31.39016465,0.03132439544,,
4.64E+11,64,32,8.2882E+07,36.302000,35.69495543,0.02754669164,,
1.00E+12,64,32,1.3835E+08,41.246350,40.55662567,0.02424456952,,
2.15E+12,64,32,2.3026E+08,46.826000,46.04297237,0.02135565711,,
4.64E+12,64,32,3.8453E+08,53.274000,52.38314847,0.01877088261,,
1.00E+13,64,32,6.4203E+08,60.564887,59.55211636,0.01651121724,,
2.15E+13,64,32,1.0691E+09,68.792000,67.6416554,0.01453657402,,
4.64E+13,64,32,1.7851E+09,78.185000,76.877585,0.01279017714,,
1.00E+14,64,32,2.9798E+09,88.855363,87.36951726,0.01125424475,,